year,pay_main,die,win_mean,win_max,win_ins
1995,4410373,11,4,22.5,42.3
1996,548136,0,3.8,21.7,29
1997,4566000,3,3.9,20.8,25.3
1998,2186932,2,3.8,20,22.8
1999,10125893,1,3.6,18.3,21.2
2000,4745460,3,3.6,18.7,32.7
2001,8000,0,3.6,18.9,27.9
2002,18415369,7,3.9,17.5,34.7
2003,286348857,17,3.2,26.1,42.7
2004,1825922,0,3.1,15.7,25
2005,18140793,0,3.1,14.5,26.4
2006,5593069,1,3.1,16.7,32.5
2007,1790288,0,3.3,15.6,25
2008,6261614,0,3.2,12.7,21.4
2009,40112168,2,3.4,18.3,26.3
2010,324449,0,3.3,15.6,24.5
2011,10044600,2,3.3,14.5,21.5
2012,8901005,0,3.3,17.8,26
2013,9798,0,3.4,15.8,22.5
2014,94515000,2,3.2,14.6,21.6
2015,14141,0,3.1,15.1,25.3
2016,66085150,2,3.1,18.6,28.3
2017,1803408,0,3.2,15.3,21.9
2018,7297329,3,3.2,19.2,33.6
