year,pay_main,die,victim,area,pay_dis,pay_rec,tem_mean,tem_hi,tem_lo,rain,win_mean,win_max,win_ins
1995,4410373,11,427,0,955.3,8671,14.5,32.8,-6.7,1005.7,4,22.5,42.3
1996,548136,0,0,1554,743.6,6533,14.5,34.9,-9.5,1289.6,3.8,21.7,29
1997,4566000,3,2052,189,283.1,2948,15.2,34.1,-8.9,1598.1,3.9,20.8,25.3
1998,2186932,2,0,110.23,2091.9,22311,15.8,32.3,-8.1,2028.8,3.8,20,22.8
1999,10125893,1,17,745,1646.1,20836,15,32.2,-7.3,2396.7,3.6,18.3,21.2
2000,4745460,3,0,315.24,853.5,15330,14.9,33.1,-7.1,1248.5,3.6,18.7,32.7
2001,8000,0,0,0,1668.8,18649,15.3,34.5,-10.3,1171.3,3.6,18.9,27.9
2002,18415369,7,134,2394,8148,90486,14.7,33.4,-6.2,2085.2,3.9,17.5,34.7
2003,286348857,17,7935,744.32,5748.3,67401,14.3,31,-8.7,2328.3,3.2,26.1,42.7
2004,1825922,0,0,55.07,1512.6,18821,14.9,34.1,-10.5,1386.5,3.1,15.7,25
2005,18140793,0,0,0.14,1263.7,16487,13.8,32.8,-10.6,1383.9,3.1,14.5,26.4
2006,5593069,1,34,9.74,2317.8,36509,14.7,34.5,-9.6,1528.3,3.1,16.7,32.5
2007,1790288,0,0,0,296.1,4897,15.3,32.6,-3.6,1276.5,3.3,15.6,25
2008,6261614,0,91,2,69,1476,15,31.4,-6.1,1168.3,3.2,12.7,21.4
2009,40112168,2,1911,154.7,324.4,7735,15.2,32.5,-7.6,1772.9,3.4,18.3,26.3
2010,324449,0,0,0,446.3,7154,14.9,34.1,-8.1,1441.9,3.3,15.6,24.5
2011,10044600,2,1271,0,778.3,16540,14.6,33,-12.8,1478.6,3.3,14.5,21.5
2012,8901005,0,165,11,1060.1,20532,14.5,34.5,-9.9,1983.3,3.3,17.8,26
2013,9798,0,0,0,170.3,3866,15.3,35,-10.7,1130.1,3.4,15.8,22.5
2014,94515000,2,5916,210,179,5071,15.1,32.9,-6,1693.1,3.2,14.6,21.6
2015,14141,0,0,0,33,381,15.4,33.5,-7.8,1396.7,3.1,15.1,25.3
2016,66085150,2,4,0,304.3,5906,15.7,37.3,-10.2,1760.2,3.1,18.6,28.3
2017,1803408,0,3,0,191,4997,15.2,36.2,-7.7,1014.4,3.2,15.3,21.9
2018,7297329,3,35,0,141.3,4433,15.1,36.4,-9.9,1778.6,3.2,19.2,33.6
